wariant,mAP@50,mAP@50:95,AP_S,AP_M,AP_L,AR@100
Baseline A: real->real (gorny ref),0.9737,0.8073,0.7586,0.7825,0.8991,0.8465
Baseline B: synth 6460 -> real,0.4095,0.2388,0.2624,0.3284,0.0671,0.3686
Baseline B: synth 45k -> real,0.4525,0.2683,0.2859,0.3839,0.2008,0.5459
Eksp A: slaby HSV (10k),0.4591,0.2643,0.3056,0.3571,0.0908,0.3970
Eksp A: sredni HSV (10k),0.4308,0.2470,0.2649,0.3448,0.0986,0.3927
Eksp A: mocny HSV (10k),0.4458,0.2523,0.2675,0.3439,0.1047,0.3936
Eksp A: slaby HSV (45k, finalny),0.4549,0.2684,0.3370,0.3545,0.0902,0.4043
Arch: YOLO11l CNN duzy (10k),0.4670,0.2708,0.3061,0.3483,0.1081,0.3922
Arch: RT-DETR-l Transf maly (10k),0.2973,0.1575,0.1462,0.2296,0.0807,0.3076
Arch: RT-DETR-x Transf duzy (10k),0.3796,0.2051,0.2058,0.2849,0.0942,0.3731
